state,action,value
"(('ADXStrength', 'hold'), ('CorrelationMonitor', 'hold'), ('FundingRate', 'sell'), ('LiquidityMapper', 'avoid'), ('MACDDivergence', 'buy'), ('NewsSentiment', 'hold'), ('PnLClusterRebalancer', 'hold'), ('RSIRegime', 'hold'), ('TimeOfDay', 'hold'), ('TrendFinder', 'buy'), ('VolatilityCluster', 'hold'), ('VolumeSpike', 'hold'), ('WhaleWallet', 'sell'), ('event_window', True), ('high_volatility', np.False_), ('is_weekend', False), ('low_liquidity', np.False_), ('session', 'London'))",buy,-14.780000000000292
"(('ADXStrength', 'hold'), ('CorrelationMonitor', 'hold'), ('FundingRate', 'sell'), ('LiquidityMapper', 'avoid'), ('MACDDivergence', 'buy'), ('NewsSentiment', 'hold'), ('PnLClusterRebalancer', 'hold'), ('RSIRegime', 'hold'), ('TimeOfDay', 'hold'), ('TrendFinder', 'buy'), ('VolatilityCluster', 'hold'), ('VolumeSpike', 'hold'), ('WhaleWallet', 'sell'), ('event_window', True), ('high_volatility', np.False_), ('is_weekend', False), ('low_liquidity', np.False_), ('session', 'London'))",sell,0.0
"(('ADXStrength', 'hold'), ('CorrelationMonitor', 'hold'), ('FundingRate', 'sell'), ('LiquidityMapper', 'avoid'), ('MACDDivergence', 'buy'), ('NewsSentiment', 'hold'), ('PnLClusterRebalancer', 'hold'), ('RSIRegime', 'hold'), ('TimeOfDay', 'hold'), ('TrendFinder', 'buy'), ('VolatilityCluster', 'hold'), ('VolumeSpike', 'hold'), ('WhaleWallet', 'sell'), ('event_window', True), ('high_volatility', np.False_), ('is_weekend', False), ('low_liquidity', np.False_), ('session', 'London'))",hold,0.0
"(('ADXStrength', 'hold'), ('CorrelationMonitor', 'hold'), ('FundingRate', 'sell'), ('LiquidityMapper', 'avoid'), ('MACDDivergence', 'buy'), ('NewsSentiment', 'hold'), ('PnLClusterRebalancer', 'hold'), ('RSIRegime', 'hold'), ('TimeOfDay', 'hold'), ('TrendFinder', 'buy'), ('VolatilityCluster', 'hold'), ('VolumeSpike', 'hold'), ('WhaleWallet', 'sell'), ('event_window', True), ('high_volatility', np.False_), ('is_weekend', False), ('low_liquidity', np.False_), ('session', 'London'))",avoid,0.0
"(('ADXStrength', 'hold'), ('CorrelationMonitor', 'hold'), ('FundingRate', 'sell'), ('LiquidityMapper', 'avoid'), ('MACDDivergence', 'buy'), ('NewsSentiment', 'hold'), ('PnLClusterRebalancer', 'hold'), ('RSIRegime', 'hold'), ('TimeOfDay', 'hold'), ('TrendFinder', 'buy'), ('VolatilityCluster', 'hold'), ('VolumeSpike', 'hold'), ('WhaleWallet', 'buy'), ('event_window', True), ('high_volatility', np.False_), ('is_weekend', False), ('low_liquidity', np.False_), ('session', 'London'))",buy,-4.930000000000291
"(('ADXStrength', 'hold'), ('CorrelationMonitor', 'hold'), ('FundingRate', 'sell'), ('LiquidityMapper', 'avoid'), ('MACDDivergence', 'buy'), ('NewsSentiment', 'hold'), ('PnLClusterRebalancer', 'hold'), ('RSIRegime', 'hold'), ('TimeOfDay', 'hold'), ('TrendFinder', 'buy'), ('VolatilityCluster', 'hold'), ('VolumeSpike', 'hold'), ('WhaleWallet', 'buy'), ('event_window', True), ('high_volatility', np.False_), ('is_weekend', False), ('low_liquidity', np.False_), ('session', 'London'))",sell,0.0
"(('ADXStrength', 'hold'), ('CorrelationMonitor', 'hold'), ('FundingRate', 'sell'), ('LiquidityMapper', 'avoid'), ('MACDDivergence', 'buy'), ('NewsSentiment', 'hold'), ('PnLClusterRebalancer', 'hold'), ('RSIRegime', 'hold'), ('TimeOfDay', 'hold'), ('TrendFinder', 'buy'), ('VolatilityCluster', 'hold'), ('VolumeSpike', 'hold'), ('WhaleWallet', 'buy'), ('event_window', True), ('high_volatility', np.False_), ('is_weekend', False), ('low_liquidity', np.False_), ('session', 'London'))",hold,0.0
"(('ADXStrength', 'hold'), ('CorrelationMonitor', 'hold'), ('FundingRate', 'sell'), ('LiquidityMapper', 'avoid'), ('MACDDivergence', 'buy'), ('NewsSentiment', 'hold'), ('PnLClusterRebalancer', 'hold'), ('RSIRegime', 'hold'), ('TimeOfDay', 'hold'), ('TrendFinder', 'buy'), ('VolatilityCluster', 'hold'), ('VolumeSpike', 'hold'), ('WhaleWallet', 'buy'), ('event_window', True), ('high_volatility', np.False_), ('is_weekend', False), ('low_liquidity', np.False_), ('session', 'London'))",avoid,0.0
"(('ADXStrength', 'hold'), ('CorrelationMonitor', 'hold'), ('FundingRate', 'sell'), ('LiquidityMapper', 'avoid'), ('MACDDivergence', 'buy'), ('NewsSentiment', 'buy'), ('PnLClusterRebalancer', 'hold'), ('RSIRegime', 'hold'), ('TimeOfDay', 'hold'), ('TrendFinder', 'hold'), ('VolatilityCluster', 'avoid'), ('VolumeSpike', 'hold'), ('WhaleWallet', 'hold'), ('event_window', True), ('high_volatility', np.False_), ('is_weekend', False), ('low_liquidity', np.False_), ('session', 'London'))",buy,-1.139999999999418
"(('ADXStrength', 'hold'), ('CorrelationMonitor', 'hold'), ('FundingRate', 'sell'), ('LiquidityMapper', 'avoid'), ('MACDDivergence', 'buy'), ('NewsSentiment', 'buy'), ('PnLClusterRebalancer', 'hold'), ('RSIRegime', 'hold'), ('TimeOfDay', 'hold'), ('TrendFinder', 'hold'), ('VolatilityCluster', 'avoid'), ('VolumeSpike', 'hold'), ('WhaleWallet', 'hold'), ('event_window', True), ('high_volatility', np.False_), ('is_weekend', False), ('low_liquidity', np.False_), ('session', 'London'))",sell,0.0
